"Time","Potential"
1612.65,95.0
1614.25,95.0
1615.85,95.0
1617.45,94.4
1619.05,93.8
1620.65,93.2
1622.25,92.6
1623.85,92.6
1625.45,92.6
1627.05,92.0
1628.65,91.4
1630.25,92.0
1631.85,91.4
1633.45,90.8
1635.05,90.8
1636.65,90.2
1638.25,90.8
1639.85,90.2
1641.45,90.2
1643.05,90.2
1644.65,90.2
1646.25,90.2
1647.85,90.2
1649.45,90.8
1651.05,90.2
1652.65,90.8
1654.25,90.2
1655.85,90.2
1657.45,90.2
1659.05,90.2
1660.65,90.2
1662.25,90.2
1663.85,90.8
1665.45,91.4
1667.05,91.4
1668.65,90.8
1670.25,90.8
1671.85,91.4
1673.45,91.4
1675.05,92.6
1676.65,92.6
1678.25,93.2
1679.85,93.2
1681.45,93.2
1683.05,93.8
1684.65,93.8
1686.25,93.8
1687.85,94.4
1689.45,95.0
1691.05,95.0
1692.65,95.6
1694.25,96.2
1695.85,96.2
1697.45,97.4
1699.05,96.8
1700.65,97.4
1702.25,98.0
1703.85,98.6
1705.45,99.2
1707.05,99.8
1708.65,99.2
1710.25,99.8
1711.85,99.8
1713.45,100.4
1715.05,100.4
1716.65,101.6
1718.25,102.2
1719.85,102.2
1721.45,102.8
1723.05,102.8
1724.65,104.0
1726.25,104.0
1727.85,104.0
1729.45,104.6
1731.05,105.8
1732.65,105.8
1734.25,105.8
1735.85,105.8
1737.45,106.4
1739.05,107.0
1740.65,106.4
1742.25,107.0
1743.85,107.0
1745.45,107.6
1747.05,107.0
1748.65,107.6
1750.25,107.0
1751.85,108.2
1753.45,108.2
1755.05,108.2
1756.65,107.6
1758.25,107.6
1759.85,108.2
1761.45,107.6
1763.05,108.2
1764.65,107.0
1766.25,107.0
1767.85,107.0
1769.45,107.0
1771.05,107.0
1772.65,106.4
1774.25,106.4
1775.85,106.4
1777.45,105.8
1779.05,106.4
1780.65,105.2
1782.25,105.2
1783.85,105.2
1785.45,104.6
1787.05,104.6
1788.65,104.0
1790.25,103.4
1791.85,104.0
1793.45,103.4
1795.05,103.4
1796.65,103.4
1798.25,103.4
1799.85,102.8
1801.45,102.2
